# segment k-means-f k-means-v spec-f spec-v  cbc-f cbc-v  online-f online-v
0 0.0 0.0 0.3396160497295356 0.126 0.052336957873767014 0.291 0.35186534608860826 0.136
1 0.0 0.0 0.34866683909690516 0.126 0.05292552480214448 0.29 0.4049355631276 0.119
2 0.0 0.0 0.35758825460933524 0.129 0.05154701787136734 0.293 0.42868928969842646 0.123
3 0.0 0.0 0.34607586200081386 0.12 0.052980652513274905 0.293 0.4352392905685533 0.116
4 0.0 0.0 0.3652853888338275 0.118 0.05399104039868371 0.295 0.4348690930211146 0.127
5 0.0 0.0 0.3818834728998791 0.118 0.05181302004105827 0.293 0.4273392724149799 0.12
6 0.0 0.0 0.38006315093528686 0.131 0.05243832541005984 0.294 0.42908898394780925 0.105
