# segment k-means-f k-means-v spec-f spec-v  cbc-f cbc-v  online-f online-v
0 0.0 0.0 0.3341235648915307 0.126 0.05447024237792709 0.292 0.3506989243044264 0.128
1 0.0 0.0 0.3556355498620261 0.121 0.05474561146191701 0.291 0.4050859742978117 0.123
2 0.0 0.0 0.35085959064124883 0.127 0.05511596203050272 0.293 0.43949049102510024 0.121
3 0.0 0.0 0.35563565327260765 0.121 0.056689761162537614 0.292 0.4397796895790214 0.115
4 0.0 0.0 0.3599039240383986 0.118 0.05617020344917284 0.292 0.4534757375220293 0.117
5 0.0 0.0 0.3788513303143586 0.119 0.053488138060633066 0.291 0.44664571736024705 0.106
6 0.0 0.0 0.3605278439860727 0.116 0.11507153539264685 0.277 0.4575482363514336 0.109
7 0.0 0.0 0.36536941549323104 0.113 0.11560391057296564 0.277 0.42624108509133607 0.115
8 0.0 0.0 0.37814075300430916 0.117 0.11293494976359741 0.276 0.41448658559055057 0.12
