# segment k-means-f k-means-v spec-f spec-v  cbc-f cbc-v  online-f online-v
0 0.6169394515247332 0.026 0.30006338867666854 0.107 0.5983334034535096 0.029 0.3696820597461022 0.12
1 0.20259039529214476 0.151 0.2753280705046053 0.108 0.6064228314061885 0.027 0.4308630813292238 0.109
2 0.2041852438710118 0.149 0.2904887178693322 0.111 0.606538536740226 0.027 0.428446487711971 0.105
3 0.2000931627629596 0.149 0.26301834098561244 0.115 0.6065344824541671 0.027 0.4396338345765405 0.106
4 0.20499087613779554 0.15 0.2943617929001189 0.107 0.6065847624057844 0.027 0.0 0.0
5 0.6182347644260046 0.025 0.2849325491137123 0.117 0.6065315246002058 0.027 0.4632301283274237 0.105
6 0.6182347644260046 0.025 0.27408224438643425 0.113 0.6066635870633076 0.027 0.45631449535191093 0.101
