# segment k-means-f k-means-v spec-f spec-v  cbc-f cbc-v  online-f online-v
0 0.2431711213335851 0.153 0.3402844339588588 0.125 0.1036635691771505 0.251 0.48850971938630755 0.084
1 0.23552449038098608 0.149 0.3380714960333629 0.126 0.10074649312991905 0.253 0.48387042706626837 0.092
2 0.23699993948868212 0.15 0.3523217457096568 0.133 0.09680002590775717 0.252 0.47335829769663573 0.087
3 0.23730979051492695 0.155 0.0 0.0 0.09824911331572249 0.251 0.5185606659428239 0.08
4 0.235207730039108 0.153 0.35603072603199176 0.124 0.1103241722335474 0.246 0.5225150349249517 0.075
5 0.23842653887580406 0.155 0.3606392897727896 0.126 0.09604694462737454 0.252 0.5139181266341651 0.065
6 0.27958186341455393 0.151 0.36729069593378705 0.124 0.15175081885516908 0.24 0.5405424684142343 0.072
7 0.27947173873733105 0.152 0.3443403363443902 0.122 0.1501427013295703 0.241 0.5569251475675331 0.065
8 0.27441784698936744 0.149 0.3581453008851822 0.126 0.1519614654288678 0.244 0.5694125452679483 0.059
